Age;lx;dx;qx;Px
0;100 000;4 019;0,04019;0,95981
1;95 981;624;0,00650;0,99350
2;95 357;243;0,00255;0,99745
3;95 114;157;0,00165;0,99835
4;94 957;116;0,00122;0,99878
5;94 841;102;0,00108;0,99892
6;94 739;95;0,00100;0,99900
7;94 644;92;0,00097;0,99903
8;94 552;86;0,00091;0,99909
9;94 466;77;0,00081;0,99919
10;94 389;69;0,00073;0,99927
11;94 320;65;0,00069;0,99931
12;94 255;65;0,00069;0,99931
13;94 190;70;0,00074;0,99926
14;94 120;72;0,00077;0,99923
15;94 048;76;0,00081;0,99919
16;93 972;85;0,00090;0,99910
17;93 887;100;0,00107;0,99893
18;93 787;117;0,00125;0,99875
19;93 670;131;0,00140;0,99860
20;93 539;141;0,00151;0,99849
21;93 398;148;0,00159;0,99841
22;93 250;159;0,00170;0,99830
23;93 091;165;0,00177;0,99823
24;92 926;169;0,00182;0,99818
25;92 757;173;0,00187;0,99813
26;92 584;179;0,00193;0,99807
27;92 405;188;0,00204;0,99796
28;92 217;197;0,00214;0,99786
29;92 029;203;0,00221;0,99779
30;91 817;210;0,00229;0,99771
31;91 607;216;0,00236;0,99764
32;91 391;222;0,00243;0,99757
33;91 169;228;0,00250;0,99750
34;90 941;235;0,00258;0,99742
35;90 706;243;0,00268;0,99732
36;90 463;252;0,00279;0,99721
37;90 211;265;0,00294;0,99706
38;89 946;281;0,00312;0,99688
39;89 665;298;0,00332;0,99668
40;89 367;318;0,00356;0,99644
41;89 049;338;0,00380;0,99620
42;88 711;357;0,00402;0,99598
43;88 354;375;0,00424;0,99576
44;87 979;392;0,00446;0,99554
45;87 587;407;0,00465;0,99535
46;87 180;433;0,00497;0,99503
47;86 747;471;0,00543;0,99457
48;86 276;517;0,00599;0,99401
49;85 759;565;0,00659;0,99341
50;85 194;607;0,00713;0,99287
51;84 587;650;0,00768;0,99232
52;83 937;698;0,00831;0,99169
53;83 239;751;0,00902;0,99098
54;82 488;809;0,00981;0,99019
55;81 679;872;0,01068;0,98932
56;80 807;939;0,01162;0,98838
57;79 868;1010;0,01264;0,98736
58;78 858;1084;0,01374;0,98626
59;77 774;1164;0,01496;0,98504
60;76 610;1246;0,01626;0,98374
61;75 364;1329;0,01764;0,98236
62;74 035;1419;0,01916;0,98084
63;72 616;1513;0,02083;0,97917
64;71 103;1610;0,02265;
65;69 493;1717;0,02471;
66;67 776;1830;0,02700;
67;65 946;1941;0,02944;
68;64 005;2051;0,03204;
69;61 954;2158;0,03484;
70;59 796;2266;0,03789;
71;57 530;2372;0,04123;
72;55 158;2473;0,04484;
73;52 685;2567;0,04872;
74;50 118;2656;0,05300;
75;47 462;2731;0,05754;
76;44 731;2794;0,06246;
77;41 937;2861;0,06821;
78;39 076;2925;0,07486;
79;36 151;2977;0,08236;
80;33 174;2991;0,09017;
81;30 183;2949;0,09772;
82;27 234;2866;0,10523;
83;24 368;2755;0,11306;
84;21 613;2618;0,12111;
85;18 995;18995;1,00000;